cgdivision,ownergroup,pmnum,pmdescription,jpdescription,nexttrigger,unitstogo,alias,assetdescription,locdescription,metername,lastreading,pmstatus,assetstatus,assetnum,frequency,tolerance,wonum,wodescription,reportdate,lastpmwogenread,dayslate,curjpdescription,unitslate
TRANSIT,TR-RALEIGH-WO,PM36393,8507 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1152906,5167,8507,2011 - CONVENTIONAL NEW FLYER - 8507,DRT RALEIGH GARAGE,ODOMETER,1147739,ACTIVE,OPERATING,1200099,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36709,8589 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,608315,5181,8589,2017 - CONVENTIONAL NOVA LFS- 8589,DRT RALEIGH GARAGE,ODOMETER,603134,ACTIVE,OPERATING,1200178,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36373,8502 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1121054,5191,8502,2011 - CONVENTIONAL NEW FLYER - 8502,DRT WESTNEY GARAGE,ODOMETER,1115863,ACTIVE,OPERATING,1200094,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36361,8472 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - D SERVICE,1003715,5203,8472,2010 - CONVENTIONAL NEW FLYER - 8472,DRT WESTNEY GARAGE,ODOMETER,998512,ACTIVE,OPERATING,1200091,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37065,6118 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,423672,5315,6118,2020 - CONVENTIONAL NOVA - 6118,DRT RALEIGH GARAGE,ODOMETER,418357,ACTIVE,OPERATING,1200301,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM65095,6133 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,52626,5411,6133,2024 - ELECTRIC NOVA - 6133,DRT RALEIGH GARAGE,ODOMETER,47215,ACTIVE,OPERATING,1568057,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64594,6146 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,166929,5569,6146,2024 - CONVENTIONAL NOVA - 6146,DRT WESTNEY GARAGE,ODOMETER,161360,ACTIVE,OPERATING,1566105,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36425,8515 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1251923,5661,8515,2011 - CONVENTIONAL NEW FLYER - 8515,DRT WESTNEY GARAGE,ODOMETER,1246262,ACTIVE,OPERATING,1200107,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37045,6113 - SERVICE INSPECTION,CONVENTIONAL NOVA - D SERVICE,561861,5672,6113,2019 - CONVENTIONAL NOVA - 6113,DRT RALEIGH GARAGE,ODOMETER,556189,ACTIVE,OPERATING,1200296,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36641,8572 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,842790,5672,8572,2017 - CONVENTIONAL NOVA - 8572,DRT RALEIGH GARAGE,ODOMETER,837118,ACTIVE,OPERATING,1200161,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36681,8582 - SERVICE INSPECTION,CONVENTIONAL NOVA - D SERVICE,690208,5708,8582,2017 - CONVENTIONAL NOVA  - 8582,DRT RALEIGH GARAGE,ODOMETER,684500,ACTIVE,OPERATING,1200171,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36637,8571 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,730302,5720,8571,2017 - CONVENTIONAL NOVA  - 8571,DRT RALEIGH GARAGE,ODOMETER,724582,ACTIVE,OPERATING,1200160,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37360,7112 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,391397,5756,7112,2021 - CONVENTIONAL NOVA - 7112,DRT RALEIGH GARAGE,ODOMETER,385641,ACTIVE,OPERATING,1200436,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64622,6156 - SERVICE INSPECTION,CONVENTIONAL NOVA - D SERVICE,90989,6069,6156,2024 - CONVENTIONAL NOVA - 6156,DRT WESTNEY GARAGE,ODOMETER,84920,ACTIVE,OPERATING,1568403,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64586,6143 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,174837,6137,6143,2024 - CONVENTIONAL NOVA - 6143,DRT WESTNEY GARAGE,ODOMETER,168700,ACTIVE,OPERATING,1566331,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64606,6152 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,104293,6152,6152,2024 - CONVENTIONAL NOVA - 6152,DRT WESTNEY GARAGE,ODOMETER,98141,ACTIVE,OPERATING,1568400,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36801,8623 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1041217,6396,8623,2012 - CONVENTIONAL NEW FLYER- 8623,DRT RALEIGH GARAGE,ODOMETER,1034821,ACTIVE,OPERATING,1200201,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36781,8618 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,991090,6435,8618,2012 - CONVENTIONAL NEW FLYER- 8618,DRT WESTNEY GARAGE,ODOMETER,984655,ACTIVE,OPERATING,1200196,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64582,6140 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,180987,6463,6140,2024 - CONVENTIONAL NOVA - 6140,DRT WESTNEY GARAGE,ODOMETER,174524,ACTIVE,OPERATING,1566103,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM63248,7124 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,284980,6486,7124,2023 - CONVENTIONAL NOVA - 7124,DRT RALEIGH GARAGE,ODOMETER,278494,ACTIVE,OPERATING,1558546,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM62593,7123 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,259435,6588,7123,2023 - CONVENTIONAL NOVA - 7123,DRT WESTNEY GARAGE,ODOMETER,252847,ACTIVE,OPERATING,1558194,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64362,6131 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,50521,6621,6131,2024 - ELECTRIC NOVA - 6131,DRT RALEIGH GARAGE,ODOMETER,43900,ACTIVE,OPERATING,1567162,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64378,6145 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,161643,6622,6145,2024 - CONVENTIONAL NOVA - 6145,DRT RALEIGH GARAGE,ODOMETER,155021,ACTIVE,OPERATING,1567295,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM37372,7115 - SERVICE INSPECTION,CONVENTIONAL NOVA - C SERVICE,415754,6630,7115,2021 - CONVENTIONAL NOVA - 7115,DRT WESTNEY GARAGE,ODOMETER,409124,ACTIVE,OPERATING,1200439,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36733,8606 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1079355,6675,8606,2012 - CONVENTIONAL NEW FLYER- 8606,DRT RALEIGH GARAGE,ODOMETER,1072680,ACTIVE,OPERATING,1200184,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36377,8503 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - D SERVICE,1195352,6682,8503,2011 - CONVENTIONAL NEW FLYER - 8503,DRT WESTNEY GARAGE,ODOMETER,1188670,ACTIVE,OPERATING,1200095,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36725,8604 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1027666,6689,8604,2012 - CONVENTIONAL NEW FLYER- 8604,DRT RALEIGH GARAGE,ODOMETER,1020977,ACTIVE,OPERATING,1200182,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64366,6139 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,145510,6766,6139,2024 - CONVENTIONAL NOVA - 6139,DRT RALEIGH GARAGE,ODOMETER,138744,ACTIVE,OPERATING,1566603,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM61484,7118 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,362510,7019,7118,2022 - CONVENTIONAL NOVA - 7118,DRT WESTNEY GARAGE,ODOMETER,355491,ACTIVE,OPERATING,1250290,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36417,8513 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1127527,7375,8513,2011 - CONVENTIONAL NEW FLYER - 8513,DRT WESTNEY GARAGE,ODOMETER,1120152,ACTIVE,OPERATING,1200105,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36661,8577 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,775570,7698,8577,2017 - CONVENTIONAL NOVA  - 8577,DRT RALEIGH GARAGE,ODOMETER,767872,ACTIVE,OPERATING,1200166,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36769,8615 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,941070,7701,8615,2012 - CONVENTIONAL NEW FLYER- 8615,DRT WESTNEY GARAGE,ODOMETER,933369,ACTIVE,OPERATING,1200193,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM62096,6120 - SERVICE INSPECTION,CONVENTIONAL NOVA HYBRID - A SERVICE,274896,7726,6120,2022 - CONVENTIONAL NOVA HYBRID - 6120,DRT WESTNEY GARAGE,ODOMETER,267170,ACTIVE,OPERATING,1540685,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36697,8586 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,702484,7813,8586,2017 - CONVENTIONAL NOVA  - 8586,DRT RALEIGH GARAGE,ODOMETER,694671,ACTIVE,OPERATING,1200175,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36553,8547 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,889167,7886,8547,2014 - CONVENTIONAL NEW FLYER - 8547,DRT WESTNEY GARAGE,ODOMETER,881281,ACTIVE,OPERATING,1200139,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36673,8580 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,617746,7917,8580,2017 - CONVENTIONAL NOVA  - 8580,DRT RALEIGH GARAGE,ODOMETER,609829,ACTIVE,OPERATING,1200169,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36797,8622 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - D SERVICE,1001770,7939,8622,2012 - CONVENTIONAL NEW FLYER- 8622,DRT WESTNEY GARAGE,ODOMETER,993831,ACTIVE,OPERATING,1200200,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64467,6135 - SERVICE INSPECTION,CONVENTIONAL NOVA - C SERVICE,40366,8025,6135,2024 - ELECTRIC NOVA - 6135,DRT RALEIGH GARAGE,ODOMETER,32341,ACTIVE,OPERATING,1567923,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36653,8575 - SERVICE INSPECTION,CONVENTIONAL NOVA - D SERVICE,863113,8138,8575,2017 - CONVENTIONAL NOVA  - 8575,DRT RALEIGH GARAGE,ODOMETER,854975,ACTIVE,OPERATING,1200164,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36561,8552 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,791778,8143,8552,2015 - CONVENTIONAL NOVA LFS- 8552,DRT RALEIGH GARAGE,ODOMETER,783635,ACTIVE,OPERATING,1200141,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM62123,6127 - SERVICE INSPECTIONS,CONVENTIONAL NOVA HYBRID - A SERVICE,290142,8332,6127,2022 - CONVENTIONAL NOVA HYBRID - 6127,DRT WESTNEY GARAGE,ODOMETER,281810,ACTIVE,OPERATING,1540694,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37089,9104 - SERVICE INSPECTION,NOVA ARTICULATED CONVENTIONAL  - D SERVICE,368280,8338,9104,2020 - CONVENTIONAL NOVA ARTICULATED - 9104,DRT RALEIGH GARAGE,ODOMETER,359942,ACTIVE,OPERATING,1200307,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM37384,7105 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,426234,8346,7105,2021 - CONVENTIONAL NOVA - 7105,DRT WESTNEY GARAGE,ODOMETER,417888,ACTIVE,OPERATING,1200442,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36481,8529 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1164991,8493,8529,2012 - CONVENTIONAL NEW FLYER - 8529,DRT RALEIGH GARAGE,ODOMETER,1156498,ACTIVE,OPERATING,1200121,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64373,6149 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,147157,8523,6149,2024 - CONVENTIONAL NOVA - 6149,DRT RALEIGH GARAGE,ODOMETER,138634,ACTIVE,OPERATING,1566604,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36061,7102 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,506052,8533,7102,2018 - CONVENTIONAL NOVA - 7102,DRT RALEIGH GARAGE,ODOMETER,497519,ACTIVE,OPERATING,1200316,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36381,8504 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1222474,8566,8504,2011 - CONVENTIONAL NEW FLYER - 8504,DRT WESTNEY GARAGE,ODOMETER,1213908,ACTIVE,OPERATING,1200096,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM62125,6129 - SERVICE INSPECTIONS,CONVENTIONAL NOVA HYBRID - D SERVICE,292273,8589,6129,2022 - CONVENTIONAL NOVA HYBRID - 6129,DRT WESTNEY GARAGE,ODOMETER,283684,ACTIVE,OPERATING,1540696,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36005,6101 - SERVICE INSPECTION,CONVENTIONAL NOVA - C SERVICE,554281,8633,6101,2018 - CONVENTIONAL NOVA - 6101,DRT WESTNEY GARAGE,ODOMETER,545648,ACTIVE,OPERATING,1200002,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36053,7100 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,546326,8675,7100,2018 - CONVENTIONAL NOVA - 7100,DRT RALEIGH GARAGE,ODOMETER,537651,ACTIVE,OPERATING,1200314,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36765,8614 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,988835,8703,8614,2012 - CONVENTIONAL NEW FLYER- 8614,DRT WESTNEY GARAGE,ODOMETER,980132,ACTIVE,OPERATING,1200192,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36757,8612 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1043639,8748,8612,2012 - CONVENTIONAL NEW FLYER- 8612,DRT WESTNEY GARAGE,ODOMETER,1034891,ACTIVE,OPERATING,1200190,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64614,6154 - SERVICE INSPECTION,CONVENTIONAL NOVA - D SERVICE,94346,8756,6154,2024 - CONVENTIONAL NOVA - 6154,DRT WESTNEY GARAGE,ODOMETER,85590,ACTIVE,OPERATING,1568401,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM62119,6123 - SERVICE INSPECTIONS,CONVENTIONAL NOVA HYBRID - B SERVICE,158926,8872,6123,2022 - CONVENTIONAL NOVA HYBRID - 6123,DRT WESTNEY GARAGE,ODOMETER,150054,ACTIVE,OPERATING,1540690,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36773,8616 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1037860,8960,8616,2012 - CONVENTIONAL NEW FLYER- 8616,DRT WESTNEY GARAGE,ODOMETER,1028900,ACTIVE,OPERATING,1200194,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM37408,8430 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,598005,9022,8430,2006 - CONVENTIONAL NEW FLYER - 8430,DRT WESTNEY GARAGE,ODOMETER,588983,ACTIVE,OPERATING,1200448,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM61475,7120 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,381544,9072,7120,2022 - CONVENTIONAL NOVA - 7120,DRT WESTNEY GARAGE,ODOMETER,372472,ACTIVE,OPERATING,1250281,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36573,8555 - SERVICE INSPECTION,CONVENTIONAL NOVA - C SERVICE,796663,9131,8555,2015 - CONVENTIONAL NOVA LFS- 8555,DRT RALEIGH GARAGE,ODOMETER,787532,ACTIVE,OPERATING,1200144,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36545,8545 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,919487,9155,8545,2014 - CONVENTIONAL NEW FLYER - 8545,DRT WESTNEY GARAGE,ODOMETER,910332,ACTIVE,OPERATING,1200137,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36413,8512 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1199912,9199,8512,2011 - CONVENTIONAL NEW FLYER - 8512,DRT WESTNEY GARAGE,ODOMETER,1190713,ACTIVE,OPERATING,1200104,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36501,8534 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1145808,9277,8534,2012 - CONVENTIONAL NEW FLYER - 8534,DRT RALEIGH GARAGE,ODOMETER,1136531,ACTIVE,OPERATING,1200126,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36469,8526 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1107827,9281,8526,2012 - CONVENTIONAL NEW FLYER - 8526,DRT WESTNEY GARAGE,ODOMETER,1098546,ACTIVE,OPERATING,1200118,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36405,8510 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1125027,9342,8510,2011 - CONVENTIONAL NEW FLYER - 8510,DRT RALEIGH GARAGE,ODOMETER,1115685,ACTIVE,OPERATING,1200102,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64372,6147 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,168711,9404,6147,2024 - CONVENTIONAL NOVA - 6147,DRT RALEIGH GARAGE,ODOMETER,159307,ACTIVE,OPERATING,1567285,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36805,8624 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1051495,9426,8624,2012 - CONVENTIONAL NEW FLYER- 8624,DRT RALEIGH GARAGE,ODOMETER,1042069,ACTIVE,OPERATING,1200202,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64533,6130 - SERVICE INSPECTION,CONVENTIONAL NOVA - C SERVICE,38446,9490,6130,2024 - ELECTRIC NOVA - 6130,DRT RALEIGH GARAGE,ODOMETER,28956,ACTIVE,OPERATING,1568054,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36001,6100 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,567740,9532,6100,2018 - CONVENTIONAL NOVA - 6100,DRT WESTNEY GARAGE,ODOMETER,558208,ACTIVE,OPERATING,1200001,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37053,6115 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,521019,9537,6115,2019 - CONVENTIONAL NOVA - 6115,DRT RALEIGH GARAGE,ODOMETER,511482,ACTIVE,OPERATING,1200298,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64618,6155 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,106815,9572,6155,2024 - CONVENTIONAL NOVA - 6155,DRT WESTNEY GARAGE,ODOMETER,97243,ACTIVE,OPERATING,1568402,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64602,6151 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,103048,9728,6151,2024 - CONVENTIONAL NOVA - 6151,DRT WESTNEY GARAGE,ODOMETER,93320,ACTIVE,OPERATING,1568399,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM62121,6125 - SERVICE INSPECTIONS,CONVENTIONAL NOVA HYBRID - A SERVICE,295769,9784,6125,2022 - CONVENTIONAL NOVA HYBRID - 6125,DRT WESTNEY GARAGE,ODOMETER,285985,ACTIVE,OPERATING,1540692,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36657,8576 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,722333,9788,8576,2017 - CONVENTIONAL NOVA  - 8576,DRT RALEIGH GARAGE,ODOMETER,712545,ACTIVE,OPERATING,1200165,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36693,8585 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,719557,9813,8585,2017 - CONVENTIONAL NOVA  - 8585,DRT RALEIGH GARAGE,ODOMETER,709744,ACTIVE,OPERATING,1200174,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64598,6148 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,171850,9891,6148,2024 - CONVENTIONAL NOVA - 6148,DRT WESTNEY GARAGE,ODOMETER,161959,ACTIVE,OPERATING,1566120,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36565,8553 - SERVICE INSPECTION,CONVENTIONAL NOVA - D SERVICE,841455,9967,8553,2015 - CONVENTIONAL NOVA LFS- 8553,DRT RALEIGH GARAGE,ODOMETER,831488,ACTIVE,OPERATING,1200142,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36589,8559 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,811778,9994,8559,2015 - CONVENTIONAL NOVA LFS- 8559,DRT RALEIGH GARAGE,ODOMETER,801784,ACTIVE,OPERATING,1200148,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM62120,6124 - SERVICE INSPECTIONS,CONVENTIONAL NOVA HYBRID - D SERVICE,274944,10000,6124,2022 - CONVENTIONAL NOVA HYBRID - 6124,DRT WESTNEY GARAGE,ODOMETER,264944,ACTIVE,OPERATING,1540691,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64463,6132 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,52421,10000,6132,2024 - ELECTRIC NOVA  - 6132,DRT RALEIGH GARAGE,ODOMETER,42421,ACTIVE,OPERATING,1567922,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36065,7103 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,479592,10000,7103,2018 - CONVENTIONAL NOVA - 7103,DRT WESTNEY GARAGE,ODOMETER,469592,ACTIVE,OPERATING,1200017,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM37400,7109 - SERVICE INSPECTION,CONVENTIONAL NOVA - D SERVICE,382035,10000,7109,2021 - CONVENTIONAL NOVA - 7109,DRT WESTNEY GARAGE,ODOMETER,372035,ACTIVE,OPERATING,1200446,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36385,8505 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1161051,10000,8505,2011 - CONVENTIONAL NEW FLYER - 8505,DRT WESTNEY GARAGE,ODOMETER,1151051,ACTIVE,OPERATING,1200097,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36421,8514 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - C SERVICE,1100200,10000,8514,2011 - CONVENTIONAL NEW FLYER - 8514,DRT WESTNEY GARAGE,ODOMETER,1090200,ACTIVE,OPERATING,1200106,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36457,8523 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1109525,10000,8523,2012 - CONVENTIONAL NEW FLYER - 8523,DRT WESTNEY GARAGE,ODOMETER,1099525,ACTIVE,OPERATING,1200115,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36485,8530 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1071588,10000,8530,2012 - CONVENTIONAL NEW FLYER - 8530,DRT WESTNEY GARAGE,ODOMETER,1061588,ACTIVE,OPERATING,1200122,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36701,8587 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,694837,10000,8587,2017 - CONVENTIONAL NOVA  - 8587,DRT RALEIGH GARAGE,ODOMETER,684837,ACTIVE,OPERATING,1200176,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM64352,8590 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,856177,10000,8590,2014 - CONVENTIONAL NEW FLYER - 8590,DRT WESTNEY GARAGE,ODOMETER,846177,ACTIVE,OPERATING,1566388,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36793,8621 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - D SERVICE,982444,10000,8621,2012 - CONVENTIONAL NEW FLYER- 8621,DRT WESTNEY GARAGE,ODOMETER,972444,ACTIVE,OPERATING,1200199,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37077,9101 - SERVICE INSPECTION,NOVA ARTICULATED CONVENTIONAL  - D SERVICE,372757,10000,9101,2020 - CONVENTIONAL NOVA ARTICULATED - 9101,DRT RALEIGH GARAGE,ODOMETER,362757,ACTIVE,OPERATING,1200304,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37348,9106 - SERVICE INSPECTION,NOVA ARTICULATED CONVENTIONAL  - A SERVICE,250199,10000,9106,2021 - CONVENTIONAL NOVA ARTICULATED - 9106,DRT RALEIGH GARAGE,ODOMETER,240199,ACTIVE,OPERATING,1200433,10000,1000,,,,0,0,,0
